Sno,Date,Day,Hour of Day,Trip Start Time HHMM,Pickup District, DropOff District,Distance Travelled,Trip Duration in Seconds,Trip End Time,Taxi Number,Taxi Type,Taxi Capacity,Number Of Passengers,Trip Fare,Passenger ID,Passenger Name
1,1-Jan-24,Mon,0,00:01,Kew Drive,Clementi,25.1,3001,01:50,SHY6685,Standard,4,2,49.91,11841,Ellen Han
2,1-Jan-24,Mon,0,00:01,Marina,Clementi Park,12.8,1671,00:29,SHY1488,Mini Cab,3,3,28.17,10126,Matthew Feng
3,1-Jan-24,Mon,0,00:02,Bishan,Hume Avenue,19.8,3332,01:57,SHX0354,Standard,4,1,44.67,11259,Agnes Bi
4,1-Jan-24,Mon,0,00:05,Suntec City,Upper East Coast,16.8,2904,01:52,SHZ0338,Mini Cab,3,1,37.54,10710,Harry Huang
5,1-Jan-24,Mon,0,00:06,Chinatown,Geylang,17.6,2413,01:45,SHY5827,Mini Cab,4,3,34.62,11250,Frederick Ke
6,1-Jan-24,Mon,0,00:08,Admiralty Road,High Street,13.6,1812,01:37,SHX4463,Premier,4,4,28.71,12313,George Guo
7,1-Jan-24,Mon,0,00:08,Macpherson,Admiralty Road,2.3,507,00:16,SHX7806,Maxi Cab,7,7,8.11,11347,Ethel Man
8,1-Jan-24,Mon,0,00:09,Middle Road,Orchard Boulevard,4.9,845,00:23,SHY1409,Standard,4,1,12.43,11178,Judith Gong
9,1-Jan-24,Mon,0,00:09,East Coast,Hillview,29.5,3740,01:10,SHX7554,Standard,4,2,55.69,11554,Ruby Ling
10,1-Jan-24,Mon,0,00:09,North Bridge Road,Middle Road,2.1,489,00:17,SHY6024,Standard,4,1,7.74,12225,Derek Cha
11,1-Jan-24,Mon,0,00:09,Pasir Ris,Seletar,9.9,1097,00:28,SHX2773,Standard,4,1,24.69,10667,Kelly Chang
12,1-Jan-24,Mon,0,00:10,Bedok,Marina,18,2739,01:55,SHY0615,Standard,4,3,42.85,10937,Iris Zhang
13,1-Jan-24,Mon,0,00:10,Admiralty Road,Queenstown,8.7,1332,01:32,SHY7111,Standard,4,1,20.52,10578,Jane Heng
14,1-Jan-24,Mon,0,00:11,Paya Lebar ,Clementi Park,22.3,3267,01:05,SHY9805,Mini Cab,3,2,43,10501,Alan Weng
15,1-Jan-24,Mon,0,00:12,Harbourfront,Sungei Gedong,19.3,2668,01:56,SHX7757,Maxi Cab,6,3,38.23,10146,Sai Merchant
16,1-Jan-24,Mon,0,00:12,Seletar,Keppel,5.2,957,00:28,SHY4520,Premier,4,2,14.47,12074,Melissa Wu
17,1-Jan-24,Mon,0,00:14,Shenton Way,Bouna Vista,5.9,942,00:29,SHY9111,Standard,4,4,14.53,11260,Louis Tai
18,1-Jan-24,Mon,0,00:14,Tanjong Rhu,Jurong,25.9,3261,01:08,SHZ9323,Maxi Cab,7,6,54.62,12139,Sydney Ke
19,1-Jan-24,Mon,0,00:16,Sims,Katong,3.4,583,00:26,SHZ6559,Mini Cab,4,2,10.04,11583,Parin Dubey
20,1-Jan-24,Mon,0,00:22,Upper East Coast,Yishun,5.6,902,01:36,SHX9762,Standard,4,4,15.29,10885,Rosina Teng
21,1-Jan-24,Mon,0,00:23,Woodlands,Anson,13.7,1653,01:50,SHY1284,Premier,4,3,28.05,10445,Edith Sin
22,1-Jan-24,Mon,1,01:31,Toa Payoh,Upper Thomson,16.4,1211,01:51,SHY7734,Maxi Cab,6,5,34.63,11128,Jill Zhou
23,1-Jan-24,Mon,1,01:31,Tengah,Dover,5.5,792,01:45,SHY8251,Standard,4,4,14.92,1811,Koh Ting Ting
24,1-Jan-24,Mon,1,01:33,Kranji,Beach Road,11,1343,01:55,SHY3294,Premier,4,1,24.85,11790,Natasha Hua
25,1-Jan-24,Mon,1,01:33,Bencoolen Road,Kew Drive,16.9,2355,01:12,SHY7162,Standard,4,1,34.05,10828,Ian Choo
26,1-Jan-24,Mon,1,01:33,Novena,Sembawang,19.9,1941,01:05,SHY2630,Mini Cab,4,2,44.44,10035,Joseph Lei
27,1-Jan-24,Mon,1,01:34,Clementi Park,Middle Road,9,940,01:50,SHY3356,Maxi Cab,6,5,18.11,10407,Annette Yan
28,1-Jan-24,Mon,1,01:35,Chai Chee,Pasir Panjang,28.8,3800,02:37,SHX1318,Maxi Cab,6,1,58.11,10725,Iris Yung
29,1-Jan-24,Mon,1,01:36,Ulu Pandan,Yio Chu Kang,19.2,2119,01:11,SHX2430,Standard,4,1,38.78,10383,Thomas Seng
30,1-Jan-24,Mon,1,01:36,Loyang,Bedok,2.3,459,01:44,SHX8982,Mini Cab,4,2,7.67,10864,Susan Liu
31,1-Jan-24,Mon,1,01:38,Woodlands,Tengah,25.4,3327,02:33,SHY8709,Premier,5,5,54.29,10535,George Xue
32,1-Jan-24,Mon,1,01:40,Changi,Novena,27.3,3963,02:45,SHY6162,Standard,4,1,51.62,11206,Norman Yu
33,1-Jan-24,Mon,1,01:41,Springleaf,Tiong Bahru,10.1,1184,01:01,SHX9385,Standard,4,2,22.36,11800,Cameron Kwon
34,1-Jan-24,Mon,1,01:45,Boat Quay,Hume Avenue,12.2,2045,01:19,SHZ2063,Mini Cab,4,4,29.07,11939,Nigel Quek
35,1-Jan-24,Mon,1,01:45,Thomson,High Street,6,1047,01:03,SHY7097,Premier,4,1,16.11,6969,Jason Young
36,1-Jan-24,Mon,1,01:46,Braddell ,Cairnhill,7.3,1113,01:04,SHX4904,Standard,4,4,19.1,7616,Cheong Pei Sian
37,1-Jan-24,Mon,1,01:46,Chai Chee,Dairy Farm,31.8,4146,02:54,SHY9613,Limosine,4,1,61.44,1811,Koh Ting Ting
38,1-Jan-24,Mon,1,01:46,Hougang,Anson,12.3,1398,01:09,SHZ9148,Limosine,4,3,25.09,11518,Zain Hassan
39,1-Jan-24,Mon,1,01:48,Upper Thomson,Tanglin,3.9,689,01:59,SHX1954,Standard,4,1,11.26,12410,Janet Sin
40,1-Jan-24,Mon,1,01:48,Thomson,Shenton Way,4.7,644,01:59,SHX8772,Standard,4,2,12.56,11967,Brian Ban
41,1-Jan-24,Mon,1,01:49,Bayshore,Marina,15.7,2737,02:33,SHX5618,Standard,4,1,35.72,12086,Sally Wei
42,1-Jan-24,Mon,1,01:51,East Coast,Alexandra,13.6,1776,01:20,SHY3294,Premier,4,2,29.94,10328,Edward Lou
43,1-Jan-24,Mon,1,01:51,Lim Chu Kang,Potong Pasir,26.3,3097,02:42,SHX7005,Standard,4,4,49.35,10755,Emma Chang
44,1-Jan-24,Mon,1,01:52,Alexandra,Balestier,4.4,796,01:06,SHY7191,Standard,4,3,12.67,11742,Wendy Soon
45,1-Jan-24,Mon,1,01:54,Holland Road,Thomson,3.3,576,01:04,SHY9805,Mini Cab,3,3,9.91,10086,Gary Ng
46,1-Jan-24,Mon,1,01:54,Tanjong Rhu,Eunos,1.3,413,01:01,SHY4629,Standard,4,1,6.51,12390,Grace Chui
47,1-Jan-24,Mon,1,01:59,Chai Chee,Geylang,4.5,745,01:11,SHY2630,Mini Cab,4,2,11.7,11004,Leah Tao
48,1-Jan-24,Mon,1,01:01,Eastwood,Kranji,7.4,1160,01:21,SHY6600,Maxi Cab,6,4,18.78,10359,Oliver Chen
49,1-Jan-24,Mon,1,01:02,Tagore,Admiralty Road,20.2,2844,02:48,SHX5045,Limosine,4,2,41.73,10133,Ivan Jong
50,1-Jan-24,Mon,1,01:02,Tuas,Sungei Gedong,3.1,690,01:13,SHY2540,Mini Cab,4,1,9.36,11329,Douglas Peng
51,1-Jan-24,Mon,1,01:03,Woodgrove,City Hall,13.4,1808,02:32,SHZ7647,Standard,4,2,29.22,11783,Ida Ng
52,1-Jan-24,Mon,1,01:03,Joo Chiat,Hong Leong Garden,25,3649,02:03,SHY7440,Standard,4,4,53.81,12227,Ricky Cheung
53,1-Jan-24,Mon,1,01:05,Hume Avenue,Sungei Gedong,4.5,785,01:18,SHX7806,Maxi Cab,7,3,11.34,12020,Ashleigh Xiong
54,1-Jan-24,Mon,1,01:05,North Bridge Road,Clementi Park,9.1,1055,01:22,SHX7524,Standard,4,3,21.04,11967,Brian Ban
55,1-Jan-24,Mon,1,01:05,Bukit Batok ,Middle Road,12,1334,01:27,SHZ1386,Standard,4,1,27.58,10924,Ethel Xie
56,1-Jan-24,Mon,1,01:05,Bukit Panjang,Suntec City,13.1,1521,02:30,SHZ7688,Standard,4,1,22.35,10338,Sydney Lin
57,1-Jan-24,Mon,1,01:07,Yio Chu Kang,People’s Park,7.6,1437,02:30,SHZ6071,Limosine,4,2,18.1,10847,Kay Fu
58,1-Jan-24,Mon,1,01:13,Woodlands,Raffles Place,10.8,1673,02:40,SHY4481,Standard,4,2,25.77,10522,Joseph Toh
59,1-Jan-24,Mon,1,01:18,Tanjong Pagar,Seletar,12,1773,02:47,SHY2458,Premier,4,1,23.91,11704,Stanley Sin
60,1-Jan-24,Mon,1,01:19,City Hall,Braddell ,13.9,2348,02:57,SHY5882,Limosine,4,2,35.26,10737,Howard Choi
61,1-Jan-24,Mon,1,01:20,Boon Lay,Geylang,27.2,4274,03:29,SHX4502,Limosine,4,1,58.89,10046,Horace Ni
62,1-Jan-24,Mon,1,01:20,Ang Mo Kio,Braddell ,5.4,793,02:33,SHY4969,Mini Cab,4,1,15.09,11665,Alice Seet
63,1-Jan-24,Mon,1,01:22,Sungei Gedong,Meyer,26.6,2851,02:09,SHY9309,Limosine,4,2,55.8,11808,Esther Chow
64,1-Jan-24,Mon,1,01:23,Queenstown,Paya Lebar ,10,1329,02:44,SHY4624,Maxi Cab,6,4,21.25,12242,Diana Zheng
65,1-Jan-24,Mon,1,01:24,Pasir Panjang,Marine Parade,25.5,3525,02:22,SHY9327,Standard,4,3,55.21,11995,Trevor Jing
66,1-Jan-24,Mon,1,01:26,Macpherson,Marina,12.1,2167,02:01,SHX4454,Mini Cab,4,3,32.33,11584,Jeffrey Wang
67,1-Jan-24,Mon,1,01:26,Kew Drive,Keppel,12.8,1286,02:46,SHX3015,Standard,4,1,27.68,11504,Jade Tan
68,1-Jan-24,Mon,1,01:26,Killiney,Bukit Batok ,19.2,2695,02:10,SHZ3996,Maxi Cab,6,4,39.2,11181,Justin Qi
69,1-Jan-24,Mon,1,01:28,Chinatown,Little India,10.3,1381,02:50,SHX8884,Maxi Cab,7,3,21.13,10199,Vincent Lian
70,1-Jan-24,Mon,1,01:28,Orchard,Paya Lebar ,9.1,1640,02:54,SHX1402,Premier,4,4,22.69,12296,Prabhakar Bhavsar
71,1-Jan-24,Mon,1,01:28,Dover,Toa Payoh,15.9,2601,02:10,SHZ9323,Maxi Cab,7,6,35.19,12348,Richard Ling
72,1-Jan-24,Mon,2,02:31,Bukit Timah,Clementi,5.4,1068,02:49,SHY7111,Standard,4,1,14.71,11817,Alan Hong
73,1-Jan-24,Mon,2,02:33,Suntec City,Ulu Pandan,11.5,1772,02:02,SHZ7952,Standard,4,3,26.71,11717,Nellie Sun
74,1-Jan-24,Mon,2,02:33,Grange Road,Chinatown,2.6,543,02:42,SHZ8528,Limosine,4,2,8.55,10290,Pauline Tian
75,1-Jan-24,Mon,2,02:33,Serangoon Garden,Tampines,9.2,1330,02:55,SHZ2063,Mini Cab,4,3,21.85,10089,Caroline Tong
76,1-Jan-24,Mon,2,02:34,Lim Chu Kang,Tampines,31.8,5029,03:57,SHZ0359,Standard,4,1,65.89,10876,Gwendoline Lau
77,1-Jan-24,Mon,2,02:36,Tiong Bahru,Amber Road,13.7,2368,02:16,SHX2430,Standard,4,3,30.46,12296,Prabhakar Bhavsar
78,1-Jan-24,Mon,2,02:37,Dunearn Road,Tiong Bahru,8.9,1552,02:03,SHX4592,Standard,4,1,19.55,10187,Gladys Che
79,1-Jan-24,Mon,2,02:37,Anson,Loyang,23.1,3761,03:39,SHX8594,Maxi Cab,6,4,51.76,12312,Harry Lan
80,1-Jan-24,Mon,2,02:39,Redhill,Tuas,14.1,2150,02:15,SHZ3454,Premier,4,3,30.54,10295,Eric Shen
81,1-Jan-24,Mon,2,02:40,Kew Drive,Tanglin,23.9,2364,02:20,SHX4488,Limosine,4,1,48.29,10886,Francesca Shin
82,1-Jan-24,Mon,2,02:40,Sentosa,Eastwood,13,1801,02:11,SHY8407,Maxi Cab,7,2,26.05,12318,Hilary He
83,1-Jan-24,Mon,2,02:41,Newton,Meyer,19.9,3219,03:34,SHX2394,Standard,4,3,38.36,11177,Nicola Lau
84,1-Jan-24,Mon,2,02:41,Hillview,Katong,30.8,3259,03:35,SHZ5899,Mini Cab,4,2,52.51,11493,Tracy Fang
85,1-Jan-24,Mon,2,02:43,Tiong Bahru,Farrer Park,4.6,672,02:54,SHX5844,Standard,4,2,11.27,11069,Adam Ji
86,1-Jan-24,Mon,2,02:44,Little India,Boat Quay,4.6,760,02:56,SHY6515,Standard,4,2,11.71,11905,Ronald Phang
87,1-Jan-24,Mon,2,02:50,Thomson,Telok Blangah,12,1538,02:16,SHY9530,Standard,4,2,23.9,11421,Christine Hou
88,1-Jan-24,Mon,2,02:52,West Coast,Farrer Park,16.3,2315,03:30,SHX0278,Premier,4,4,31.86,11278,Phyllis Lang
89,1-Jan-24,Mon,2,02:54,Joo Chiat,Tanjong Rhu,2,527,02:03,SHX9442,Standard,4,2,7.89,10402,Marion Pak
90,1-Jan-24,Mon,2,02:55,Paya Lebar ,City Hall,14.1,2165,03:30,SHY6907,Standard,4,1,34.34,12262,Sufian Iqbal
91,1-Jan-24,Mon,2,02:55,Tiong Bahru,Ardmore,7,1155,02:14,SHZ7377,Premier,5,1,18.09,12168,Wahida Rafiq
92,1-Jan-24,Mon,2,02:56,Braddell,Boon Lay,19.9,2007,03:28,SHY9111,Standard,4,1,38.88,10428,Zeenat Rahaman
93,1-Jan-24,Mon,2,02:00,Paya Lebar ,Balestier,7.1,925,02:15,SHY3466,Mini Cab,4,3,19.08,12185,Hayley Tan
94,1-Jan-24,Mon,2,02:00,Jurong,Chai Chee,28.6,2575,03:42,SHZ3746,Standard,4,2,47.04,11775,Diana Tham
95,1-Jan-24,Mon,2,02:01,Tagore,Ang Mo Kio,17,1907,03:32,SHX5482,Limosine,4,4,35.72,11892,Maurice Ying
96,1-Jan-24,Mon,2,02:04,Ardmore,Tampines,22.1,1713,03:31,SHX5415,Standard,4,3,37.03,10362,Nadira Baksh
97,1-Jan-24,Mon,2,02:04,Loyang,Clementi,28.6,1957,03:36,SHZ8671,Standard,4,3,50,10726,Yvonne Yeoh
98,1-Jan-24,Mon,2,02:05,Choa Chu Kang,Kew Drive,30.5,5109,04:28,SHX2912,Standard,4,1,64.81,11135,Francis Man
99,1-Jan-24,Mon,2,02:08,City Hall,Orchard,6.9,948,02:24,SHY3409,Mini Cab,3,3,14.86,11792,Meera Bahri
100,1-Jan-24,Mon,2,02:10,Beach Road,People’s Park,1.8,494,02:18,SHX3015,Standard,4,3,7.06,1111,Steven Ou
101,1-Jan-24,Mon,2,02:10,Kew Drive,Tampines,2.3,540,02:19,SHZ9458,Standard,4,1,8.47,11890,Dorothy Pak
102,1-Jan-24,Mon,2,02:11,People’s Park,Ulu Pandan,12.3,1981,03:43,SHY8407,Maxi Cab,7,7,31.53,10169,Sophie Xue
103,1-Jan-24,Mon,2,02:12,Holland Road,Upper Thomson,4.2,853,02:26,SHZ7300,Standard,4,2,12.41,11381,Gareth Cheng
104,1-Jan-24,Mon,2,02:15,Serangoon Road,Orchard Boulevard,11.1,1723,03:43,SHY9425,Standard,4,1,25,10906,Dean Yap
105,1-Jan-24,Mon,2,02:17,Keppel,Bukit Timah,9.1,1585,03:43,SHX9385,Standard,4,1,20.03,11148,Gary Boon
106,1-Jan-24,Mon,2,02:18,High Street,Braddell,10.1,1560,03:43,SHX1639,Standard,4,2,23.03,11618,Mavis Yuan
107,1-Jan-24,Mon,2,02:19,Admiralty Road,Anson,13.9,1633,03:45,SHY8077,Premier,4,4,27.93,11242,Kate Tan
108,1-Jan-24,Mon,2,02:19,Paya Lebar ,Hong Leong Garden,24.4,3513,03:17,SHY9725,Premier,4,2,49.24,11230,Freda Wang
109,1-Jan-24,Mon,2,02:20,Tiong Bahru,Tampines,16.8,2155,03:55,SHY2377,Mini Cab,4,1,39.03,12330,Martin Tee
110,1-Jan-24,Mon,2,02:22,Pasir Ris,Chancery ,25.3,2359,03:00,SHX7533,Maxi Cab,7,2,50,11546,Damian Man
111,1-Jan-24,Mon,2,02:23,Ardmore,Marine Parade,19.9,2684,03:06,SHZ7871,Limosine,4,2,40.69,11399,Phyllis Huang
112,1-Jan-24,Mon,2,02:26,Bedok,Sungei Gedong,32.8,4481,04:38,SHZ7564,Standard,4,1,65.32,12145,Nicole Yang
113,1-Jan-24,Mon,2,02:27,Dover,North Bridge Road,7.7,1035,03:44,SHY7964,Mini Cab,4,1,18.57,11558,Marilyn Mak
114,1-Jan-24,Mon,3,03:27,Suntec City,Woodgrove,9.8,1283,03:48,SHY6162,Standard,4,2,20.5,12129,Marjorie Soe
115,1-Jan-24,Mon,3,03:30,Tampines,Tanglin,23.1,2084,03:04,SHY2772,Mini Cab,4,1,43.49,12033,Robert Lim
116,1-Jan-24,Mon,3,03:33,Farrer Park,Hillview,20.2,2787,03:19,SHY6044,Standard,4,1,44.24,11103,Mark Tsang
117,1-Jan-24,Mon,3,03:38,Harbourfront,Tengah,18,2436,03:19,SHZ8401,Mini Cab,3,1,35.42,10116,Charles He
118,1-Jan-24,Mon,3,03:43,Potong Pasir,Anson,15.5,2208,03:20,SHZ7886,Standard,4,3,33.94,10950,Gladys Fu
119,1-Jan-24,Mon,3,03:44,Dover,Loyang,29.9,3702,04:45,SHY4245,Premier,4,4,63.54,11658,Monica Ku
120,1-Jan-24,Mon,3,03:45,Telok Blangah,Havelock Road,2.8,641,03:55,SHX2912,Standard,4,3,9.88,11700,Georgina Eng
121,1-Jan-24,Mon,3,03:48,Woodgrove,Alexandra,7.7,1129,03:07,SHY0353,Standard,4,1,16.32,12231,Keith Qiu
122,1-Jan-24,Mon,3,03:48,Kranji,City Hall,12.4,1649,03:15,SHY2966,Standard,4,1,28.87,11784,Garry Lao
123,1-Jan-24,Mon,3,03:48,Telok Blangah,Chinatown,7.2,939,03:04,SHY1488,Mini Cab,3,1,17.95,11309,Veronica Naing
124,1-Jan-24,Mon,3,03:48,High Street,Geylang,15.7,2197,03:25,SHZ9337,Mini Cab,4,3,31.45,11959,Janet Ma
125,1-Jan-24,Mon,3,03:50,Upper East Coast,Marine Parade,2.3,496,03:58,SHY8331,Standard,4,1,8.21,10916,Jasmine Han
126,1-Jan-24,Mon,3,03:52,Dunearn Road,Sentosa,10.9,1341,03:15,SHY1148,Limosine,4,1,22.27,10386,Marie Zhou
